Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 30|30|Representative in Congress|DEM|Peter Barca|253
City of Kenosha|Wards 30|30|Representative in Congress|REP|Bryan Steil|157
City of Kenosha|Wards 30|30|Representative in Congress|GRN|Chester Todd, Jr.|23
City of Kenosha|Wards 30|30|Representative in Congress|Write-In||1
City of Kenosha|Wards 30|30|State Senator District 22|DEM|Robert W. Wirch|347
City of Kenosha|Wards 30|30|State Senator District 22|Write-In||18
City of Kenosha|Wards 30|30|Representative to the Assembly District 65|DEM|Ben DeSmidt|256
City of Kenosha|Wards 30|30|Representative to the Assembly District 65|REP|Brian Gonzales|170
City of Kenosha|Wards 30|30|Representative to the Assembly District 65|Write-In||2
City of Kenosha|Wards 30|30|District Attorney|DEM|Carli McNeill|259
City of Kenosha|Wards 30|30|District Attorney|REP|Xavier Solis|165
City of Kenosha|Wards 30|30|District Attorney|Write-In||3
City of Kenosha|Wards 30|30|County Clerk|DEM|Regi Waligora|342
City of Kenosha|Wards 30|30|County Clerk|Write-In||17
City of Kenosha|Wards 30|30|County Treasurer|DEM|Teri Jacobson|344
City of Kenosha|Wards 30|30|County Treasurer|Write-In||15
City of Kenosha|Wards 30|30|Register of Deeds|DEM|Jennifer Mack|332
City of Kenosha|Wards 30|30|Register of Deeds|Write-In||15
City of Kenosha|Wards 30|30|State Referendum|Yes||312
City of Kenosha|Wards 30|30|State Referendum|No||104
City of Kenosha|Wards 31|31|President / Vice President|DEM|Kamala D. Harris / Tim Walz|378
City of Kenosha|Wards 31|31|President / Vice President|REP|Donald J. Trump / JD Vance|279
City of Kenosha|Wards 31|31|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|4
City of Kenosha|Wards 31|31|President / Vice President|JFA|Cornel West / Melina Abdullah|2
City of Kenosha|Wards 31|31|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|2
City of Kenosha|Wards 31|31|President / Vice President|GRN|Jill Stein / Rudolph Ware|2
City of Kenosha|Wards 31|31|President / Vice President|CON|Randall Terry / Stephen Broden|2
City of Kenosha|Wards 31|31|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|1
City of Kenosha|Wards 31|31|President / Vice President|Write-In||3
City of Kenosha|Wards 31|31|United States Senator|DEM|Tammy Baldwin|369
City of Kenosha|Wards 31|31|United States Senator|REP|Eric Hovde|258
City of Kenosha|Wards 31|31|United States Senator|DTC|Phil Anderson|23
City of Kenosha|Wards 31|31|United States Senator|AFT|Thomas Leager|13
City of Kenosha|Wards 31|31|United States Senator|Write-In||0
City of Kenosha|Wards 31|31|Representative in Congress|DEM|Peter Barca|348
City of Kenosha|Wards 31|31|Representative in Congress|REP|Bryan Steil|277
City of Kenosha|Wards 31|31|Representative in Congress|GRN|Chester Todd, Jr.|26
City of Kenosha|Wards 31|31|Representative in Congress|Write-In||0
City of Kenosha|Wards 31|31|State Senator District 22|DEM|Robert W. Wirch|503
City of Kenosha|Wards 31|31|State Senator District 22|Write-In||29
City of Kenosha|Wards 31|31|Representative to the Assembly District 65|DEM|Ben DeSmidt|360
City of Kenosha|Wards 31|31|Representative to the Assembly District 65|REP|Brian Gonzales|283
City of Kenosha|Wards 31|31|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 31|31|District Attorney|DEM|Carli McNeill|377
City of Kenosha|Wards 31|31|District Attorney|REP|Xavier Solis|265
City of Kenosha|Wards 31|31|District Attorney|Write-In||1
City of Kenosha|Wards 31|31|County Clerk|DEM|Regi Waligora|502
City of Kenosha|Wards 31|31|County Clerk|Write-In||29
City of Kenosha|Wards 31|31|County Treasurer|DEM|Teri Jacobson|497
City of Kenosha|Wards 31|31|County Treasurer|Write-In||28
City of Kenosha|Wards 31|31|Register of Deeds|DEM|Jennifer Mack|492
City of Kenosha|Wards 31|31|Register of Deeds|Write-In||26
City of Kenosha|Wards 31|31|State Referendum|Yes||469
City of Kenosha|Wards 31|31|State Referendum|No||168
City of Kenosha|Wards 32|32|President / Vice President|DEM|Kamala D. Harris / Tim Walz|108
City of Kenosha|Wards 32|32|President / Vice President|REP|Donald J. Trump / JD Vance|105
City of Kenosha|Wards 32|32|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|1
City of Kenosha|Wards 32|32|President / Vice President|CON|Randall Terry / Stephen Broden|0
City of Kenosha|Wards 32|32|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|0
City of Kenosha|Wards 32|32|President / Vice President|GRN|Jill Stein / Rudolph Ware|0
City of Kenosha|Wards 32|32|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|0
City of Kenosha|Wards 32|32|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 32|32|President / Vice President|Write-In||0
City of Kenosha|Wards 32|32|United States Senator|DEM|Tammy Baldwin|103
City of Kenosha|Wards 32|32|United States Senator|REP|Eric Hovde|102
City of Kenosha|Wards 32|32|United States Senator|AFT|Thomas Leager|6
City of Kenosha|Wards 32|32|United States Senator|DTC|Phil Anderson|3
City of Kenosha|Wards 32|32|United States Senator|Write-In||0
